Designator,Mid X,Mid Y,Rotation,Layer
C1,63.0,34.5,180.0,top
C10,58.5,5.0,180.0,top
C11,69.0,24.25,0.0,top
C12,73.0,38.0,270.0,top
C13,74.75,38.5,270.0,top
C14,78.25,38.0,90.0,top
C15,102.75,59.5,0.0,top
C16,100.0,59.5,180.0,top
C17,72.25,61.5,180.0,top
C18,72.75,63.25,180.0,top
C19,75.25,4.25,180.0,top
C2,57.5,24.5,180.0,top
C20,89.0,25.25,0.0,top
C21,86.25,41.5,90.0,top
C22,89.75,32.75,0.0,top
C23,82.75,30.0,270.0,top
C24,91.0,36.5,0.0,top
C25,90.5,38.0,0.0,top
C26,50.5,30.5,270.0,top
C27,56.5,50.25,270.0,top
C28,58.25,50.75,270.0,top
C29,50.5,47.75,270.0,top
C3,65.25,40.0,180.0,top
C30,64.0,51.0,270.0,top
C31,66.75,50.0,0.0,top
C32,66.5,51.5,0.0,top
C33,97.0,29.25,90.0,top
C34,98.5,29.75,90.0,top
C35,3.75,16.75,0.0,top
C36,4.0,26.25,0.0,top
C37,7.25,16.75,180.0,top
C38,7.5,26.25,180.0,top
C39,10.75,16.75,0.0,top
C4,60.0,20.25,0.0,top
C40,11.0,26.25,0.0,top
C41,14.25,16.75,180.0,top
C42,14.5,26.25,180.0,top
C43,17.75,16.75,0.0,top
C44,18.0,26.25,0.0,top
C45,21.25,16.75,180.0,top
C46,21.5,26.25,180.0,top
C47,24.75,16.75,0.0,top
C48,25.0,26.25,0.0,top
C49,28.25,16.75,180.0,top
C5,110.25,60.0,0.0,top
C50,28.5,26.25,180.0,top
C51,3.75,50.75,0.0,top
C52,4.0,60.25,0.0,top
C53,7.25,50.75,180.0,top
C54,7.5,60.25,180.0,top
C55,10.75,50.75,0.0,top
C56,11.0,60.25,0.0,top
C57,14.25,50.75,180.0,top
C58,14.5,60.25,180.0,top
C59,17.75,50.75,0.0,top
C6,107.5,59.75,180.0,top
C60,18.0,60.25,0.0,top
C61,21.25,50.75,180.0,top
C62,21.5,60.25,180.0,top
C63,24.75,50.75,0.0,top
